Date,Close_AAPL,Close_MSFT,Close_SPY,High_AAPL,High_MSFT,High_SPY,Low_AAPL,Low_MSFT,Low_SPY,Open_AAPL,Open_MSFT,Open_SPY,Volume_AAPL,Volume_MSFT,Volume_SPY,Log_Return_AAPL,Log_Return_MSFT,Log_Return_SPY,SMA_50_AAPL,SMA_200_AAPL,Rolling_STD_AAPL,BB_Upper_AAPL,BB_Lower_AAPL,Daily_Return_AAPL,Month,Day_Name,Daily_Return_MSFT,Daily_Return_SPY,Rolling_Volatility_AAPL
2021-07-12,140.85165405273438,266.71954345703125,409.5608215332031,142.62570970674338,269.0758754216596,409.8138402584851,140.364278087154,266.0078097490521,407.5836837997048,142.51848639937432,268.48920655469243,408.0147135517589,76299700.0,18931700.0,52889600.0,-0.004212501178792,-0.0022331225249115,0.0035757037406383,,,5.139110787164034,,,-0.004203641041180872,7,Monday,-0.0022306309618062015,0.003582104195695379,0.010019459658499433
2021-07-13,141.9628448486328,270.2396545410156,408.1646118164063,143.7369001800956,272.03816979015454,410.2729485190576,140.00359917768813,266.7868844783001,407.9022421705888,140.3934939298509,266.9118906217508,408.7736811446095,100827100.0,26120100.0,52911300.0,0.0078581297509893,0.0131114674100315,-0.0034148652265334,,,5.354826491698785,,,0.007889085885227853,7,Tuesday,0.013197799600131122,-0.00340904120557739,0.009846334492403101
2021-07-14,145.3842010498047,271.71112060546875,408.773681640625,145.79360982701007,272.8171562130653,410.3479281135863,143.95131495017475,269.8260200844515,407.5274329705168,144.36072372738016,271.557233051648,409.8606497735151,127050800.0,23113700.0,64130400.0,0.0238145332982972,0.0054302705994523,0.001491103898414,,,5.700971333048595,,,0.024100363759403942,7,Wednesday,0.005445041242937876,0.0014922161465891204,0.010306025066848336
2021-07-15,144.7311553955078,270.2876892089844,407.3775329589844,146.21278242197317,271.71112710257626,408.10842192602513,143.37625087333885,269.1335472032558,405.4753457373174,145.47197634550716,271.22061234748406,407.43375298751454,106820300.0,22604200.0,55126400.0,-0.0045019799384808,-0.005252537988325,-0.0034213023727179,,,5.849414703643292,,,-0.004491861217252646,7,Thursday,-0.005238767531164923,-0.0034154563866175547,0.010487398026958271
2021-07-16,142.69393920898438,270.0184631347656,404.18212890625,145.97884856339024,273.24041682866897,408.604951176433,142.1968210625346,268.7777645604806,403.78858880291534,144.7116829108476,271.28801379910107,408.5581106961786,93251400.0,26186800.0,75874700.0,-0.0141758694034039,-0.0009965686873366,-0.0078747643965777,,,5.835293859721707,,,-0.014075864874817934,7,Friday,-0.0009960722776781727,-0.00784383966765323,0.010605975421482299
2021-07-19,138.85340881347656,266.42138671875,398.2132568359375,140.43251704679776,269.6529376561164,404.247787129505,138.0931035014654,263.9592442852176,395.40214130525,140.12058929133983,268.2679788683728,399.35644496226297,121434600.0,32935600.0,147987000.0,-0.0272832875416492,-0.0134111227213297,-0.0148779075200318,,,5.473403622806848,,,-0.026914460535588103,7,Monday,-0.013321594287500016,-0.014767778294564327,0.0118619631711323
2021-07-20,142.4600067138672,268.64312744140625,403.9197998046875,143.38603306380864,270.2300510737556,405.19418699140346,139.35056015600642,265.7000968938325,398.08203985333273,139.83793618290784,267.4024288847443,398.8785282705121,96350000.0,26259700.0,99608200.0,0.0256425418957149,0.0083046190980256,0.0142286599400989,,,5.3078198620588335,,,0.025974140146860947,7,Tuesday,0.008339198102747192,0.01433036914464414,0.012478221869308859
2021-07-21,141.7289276123047,270.6435546875,407.1900939941406,142.4405072449087,270.75896302355244,407.33067265477706,140.97837931958148,266.69067242244347,403.8729980876093,141.85565012536404,268.23911651623393,405.1192467876088,74993500.0,24364300.0,64724400.0,-0.0051450329409691,0.0074188237443786,0.008063794894589,,,5.148836764106507,,,-0.005131819929160009,7,Wednesday,0.00744641139770108,0.008096394856192957,0.01261099915214762
2021-07-22,143.09356689453125,275.2024230957031,408.0428466796875,144.45821346206498,275.4717190297968,408.28648588193806,142.1285572602189,272.5863928711976,406.3842985469024,142.25527975346566,272.9903220968104,407.3681777009672,77338200.0,23384100.0,47878500.0,0.0095824575003139,0.0167042521118769,0.0020920474480817,,,4.95318598574654,,,0.00962851624729355,7,Thursday,0.01684454822309389,0.002094237306173641,0.012639237167995662
2021-07-23,144.8091583251953,278.5974426269531,412.24072265625,144.96512221870486,278.9051883924715,412.5780427922919,143.21056560056124,275.5486022461029,409.2890570813005,143.8246641352954,276.38534199654606,409.97307688921177,71447400.0,22768100.0,63766600.0,0.011917995816079,0.0122609710575486,0.0102352717551805,,,4.721430335588341,,,0.011989298106801494,7,Friday,0.012336444908660482,0.01028783131654265,0.012461387339739543
2021-07-26,145.22828674316406,278.0010986328125,413.2527465820313,146.04707474588002,278.61664882454664,413.2621261186514,143.97084849928373,275.6832463230068,411.60357811733337,144.5264642055409,277.9530216151671,411.65041860813767,72434100.0,23176100.0,43719200.0,0.002890169644275,-0.002142816332127,0.0024519259582613,,,4.337379571769728,,,0.0028943502111069552,7,Monday,-0.0021405221401803454,0.002454934387026153,0.012443553725191873
2021-07-27,143.06434631347656,275.587158203125,411.3692932128906,145.4427434254304,278.5109345714232,412.24073218061153,141.87514775749966,272.1343877026181,408.539418557589,145.35500444699645,278.36667411756946,412.2126221686252,104818600.0,33604100.0,67397100.0,-0.0150123924260084,-0.0087211233251961,-0.0045680482776972,,,3.8756637725944882,,,-0.0149002682481163,7,Tuesday,-0.008683204640409947,-0.004557630613997166,0.012424168445939533
2021-07-28,141.3195037841797,275.27935791015625,411.2005615234375,143.25926511063363,279.0591282119056,412.5780091589439,138.9411071473103,272.9807006010522,409.77627340490346,141.1537977724019,277.9434652186941,411.9970499079121,118931200.0,33566900.0,52472400.0,-0.0122711920794501,-0.0011175132849719,-0.0004102549852712,,,3.425613320591776,,,-0.012196208029872424,7,Wednesday,-0.001116889099534446,-0.0004101708422018513,0.012633759599231848
2021-07-29,141.9628448486328,275.54864501953125,412.9060363769531,142.8498725143642,277.5876041189694,413.9836250033735,140.92961036922324,275.1446864474467,412.11892741688575,141.0368336570977,275.29857402961915,412.12830695326727,56699500.0,18168300.0,47435300.0,0.0045420561752816,0.0009777539609316,0.0041389725372441,131.9683494567871,,2.936202771460872,137.84075499970885,126.09594391386537,0.004552386947491938,7,Thursday,0.0009782321181630582,0.00414754991383548,0.012634470172035806
